PER,A
11.12830484,0.0794372
4.301662,0.0505272
65.6478424,0.305198
4.8878162000000005,0.052544299999999995
15.413135,0.133829
2.4262900000000003,0.036143699999999994
4.166972,0.050678100000000004
40.699444299999996,0.252724
8.259780000000001,0.0799685
55.806000000000004,0.264333
42.913751,0.268995
6.252972,0.0664249
6.07972888,0.0624727
10.104664999999999,0.0914719
1.31155557,0.023292
8.1934719,0.083574
2.50806,0.033677
8.990889,0.0846204
17.934936999999998,0.13409300000000002
26.084059399999997,0.174395
18.201320000000003,0.136688
33.197860999999996,0.202153
7.20283653,0.0696812
3657.0,3.5615300000000003
3.744439,0.049298400000000006
46.827915000000004,0.254259
7.1999,0.0504277
18.746477,0.13810799999999998
2.82019241,0.039579500000000004
3.89713,0.0516604
6.099043,0.029168299999999998
40.806231,0.23196599999999998
25.85501786,0.172254
3.70598955,0.048527
84.5733226,0.36937800000000004
12.465988000000001,0.105218
2.024152,0.0313162
380.0,1.1296
0.8378434000000001,0.0176159
54.509416599999994,0.251
51.84688575,0.0
1.10446351,0.0194926
3.06008,0.0208968
7.9535279999999995,0.0779794
13.24934059,0.111023
4.215,0.05006
10.475464,0.0936962
354.29,1.17218
19.9400874,0.14097200000000001
18.054038100000003,0.131467
11.932125,0.10219199999999999
3.056536,0.0443853
3.51576315,0.0420065
3.2432597999999997,0.0438587
4.124480999999999,0.04949509999999999
6.83437001,0.0
16.860128600000003,0.132431
49.412,0.26954
12.2854603,0.0893266
30.864423,0.19256600000000001
9.66857723,0.0885238
11.379349000000001,0.09901130000000001
11.35011917,0.0829006
6.511127,0.0682408
3.6127647000000005,0.0522499
15.955387,0.12403499999999999
218.47,0.7400869999999999
45.1263042,0.26064299999999996
1.49514952,0.026335300000000002
3.2357,0.041850599999999995
28.5057189,0.182625
643.25,1.5273
559.3,1.39588
37.6467384,0.223437
11.29695137,0.10078
3.1260876,0.0405459
32.2968798,0.18801199999999998
39.64317811,0.218045
3.2440599999999997,0.0399889
3.52563254,0.043298699999999996
1.44259224,0.0291019
89.72229200000001,0.408538
377.8,1.02831
1129.0,2.00715
10.10769068,0.090566
12.162701,0.103505
41.43962808,0.227107
3.41303622,0.04218909999999999
24.08821,0.163234
1.4857108,0.0267923
1773.4,2.93362
3.474474,0.049931699999999996
21.81293494,0.147513
